INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
PLTEST005,520,,BURGLARY - RESIDENTIAL,B2,289,1,2021-10-13 00:00:00,2021,10,Wednesday,0,,SCHROEDER PLZ,42.33367921810846,-71.09187754618458,"(42.33367921810846, -71.09187754618458)"
PLTEST003,3114,,INVESTIGATE PROPERTY,B2,289,0,2021-05-12 00:00:00,2021,5,Wednesday,0,,SCHROEDER PLZ,42.33367921810846,-71.09187754618458,"(42.33367921810846, -71.09187754618458)"
PLTEST002,3114,,INVESTIGATE PROPERTY,B2,289,0,2021-05-12 00:00:00,2021,5,Wednesday,0,,SCHROEDER PLZ,42.33367921810846,-71.09187754618458,"(42.33367921810846, -71.09187754618458)"
PLTEST001,3114,,INVESTIGATE PROPERTY,B2, ,0,2021-03-29 00:00:00,2021,3,Monday,0,,SCHROEDER PLAZA,0,0,"(0, 0)"
222000599,1106,,FRAUD - CREDIT CARD / ATM FRAUD,B2,282,0,2021-12-29 22:40:00,2021,12,Wednesday,22,,WASHINGTON ST,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)"
222000583,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,282,0,2021-12-28 12:00:00,2021,12,Tuesday,12,,WASHINGTON ST,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)"
222000575,617,,LARCENY THEFT FROM BUILDING,B3, ,0,2021-12-20 00:00:00,2021,12,Monday,0,,CUMMINS HWY,42.272456507370215,-71.10731991584515,"(42.272456507370215, -71.10731991584515)"
222000557,617,,LARCENY THEFT FROM BUILDING,D14, ,0,2021-12-28 00:00:00,2021,12,Tuesday,0,,SUTHERLAND RD,42.33654138026856,-71.15048534785248,"(42.33654138026856, -71.15048534785248)"
222000555,3201,,PROPERTY - LOST/ MISSING,B2,282,0,2021-12-31 12:00:00,2021,12,Friday,12,,WASHINGTON ST,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)"
222000554,1102,,FRAUD - FALSE PRETENSE / SCHEME,D14,778,0,2021-12-30 00:00:00,2021,12,Thursday,0,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
222000511,3801,,M/V ACCIDENT - OTHER,B2,282,0,2021-12-30 00:00:00,2021,12,Thursday,0,,WASHINGTON ST,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)"
222000487,3201,,PROPERTY - LOST/ MISSING,B2, ,0,2021-06-28 11:51:00,2021,6,Monday,11,,MALCOLM X BLVD,42.331237755852904,-71.09140736221293,"(42.331237755852904, -71.09140736221293)"
222000434,1402,,VANDALISM,B3,465,0,2021-12-23 00:00:00,2021,12,Thursday,0,,BLUE HILL AVE,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)"
222000337,724,,AUTO THEFT,D14,778,0,2021-07-14 10:22:00,2021,7,Wednesday,10,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
222000259,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2, ,0,2021-12-30 22:00:00,2021,12,Thursday,22,,WOODWARD PARK ST,42.31862925779492,-71.07271364642999,"(42.31862925779492, -71.07271364642999)"
222000197,3202,,PROPERTY - LOST THEN LOCATED,B3,409,0,2021-12-31 23:30:00,2021,12,Friday,23,,MENTON ST,42.27298349626727,-71.07804969908256,"(42.27298349626727, -71.07804969908256)"
222000178,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2, ,0,2021-12-31 20:36:00,2021,12,Friday,20,,"BLUE HILL AVE & WASHINGTON ST
DORCHESTER  MA 02121",42.30846803058291,-71.08327694723572,"(42.30846803058291, -71.08327694723572)"
222000168,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3, ,0,2021-12-31 00:30:00,2021,12,Friday,0,,ARMANDINE ST,42.28431485820152,-71.07410838208102,"(42.28431485820152, -71.07410838208102)"
222000005,2647,,THREATS TO DO BODILY HARM,B2, ,0,2021-12-31 22:53:00,2021,12,Friday,22,,ABBOTSFORD ST,42.3146297335049,-71.09261520161773,"(42.3146297335049, -71.09261520161773)"
212952205,1402,,VANDALISM,B2,183,0,2021-07-28 00:00:00,2021,7,Wednesday,0,,LEYLAND ST,42.32066146475963,-71.07067866730458,"(42.32066146475963, -71.07067866730458)"
212929649,801,,ASSAULT - SIMPLE,D14,784,0,2021-03-31 20:10:00,2021,3,Wednesday,20,,NEVINS ST,42.349285689968546,-71.146727204671,"(42.349285689968546, -71.146727204671)"
212492943,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,320,0,2021-04-11 15:00:00,2021,4,Sunday,15,,"4 HARTWELL ST
ROXBURY  MA 02121
UNITED STATES",42.30936380087264,-71.08416777254996,"(42.30936380087264, -71.08416777254996)"
212098438,3301,,VERBAL DISPUTE,B2,265,0,2021-12-28 19:37:00,2021,12,Tuesday,19,,WAVERLY ST,42.32037671039494,-71.07903446612556,"(42.32037671039494, -71.07903446612556)"
212097649,801,,ASSAULT - SIMPLE,B3,465,0,2021-12-13 11:00:00,2021,12,Monday,11,,BLUE HILL AVE,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)"
212095530,3114,,INVESTIGATE PROPERTY,B2, ,0,2021-12-31 23:21:00,2021,12,Friday,23,,HUMBOLDT AVE,42.31430347467973,-71.08856593453203,"(42.31430347467973, -71.08856593453203)"
212095529,423,,ASSAULT - AGGRAVATED,B2, ,0,2021-12-31 22:47:00,2021,12,Friday,22,,WARREN ST,42.31696649906326,-71.08254057648374,"(42.31696649906326, -71.08254057648374)"
212095528,801,,ASSAULT - SIMPLE,B2, ,0,2021-12-31 22:45:00,2021,12,Friday,22,,MISSION PARK DR,42.33378250371646,-71.10934344433427,"(42.33378250371646, -71.10934344433427)"
212095505,3114,,INVESTIGATE PROPERTY,B3, ,1,2021-12-31 21:47:00,2021,12,Friday,21,,NIGHTINGALE ST,42.295401747229576,-71.08237834206447,"(42.295401747229576, -71.08237834206447)"
212095499,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2, ,0,2021-12-31 21:02:00,2021,12,Friday,21,,BLUE HILL AVE,42.31709355046751,-71.07802976841748,"(42.31709355046751, -71.07802976841748)"
212095497,3830,,M/V - LEAVING SCENE - PERSONAL INJURY,B2, ,0,2021-12-31 20:28:00,2021,12,Friday,20,,WASHINGTON ST,42.307750239554196,-71.08273084088506,"(42.307750239554196, -71.08273084088506)"
212095483,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14, ,0,2021-12-31 20:06:00,2021,12,Friday,20,,ALLSTON ST,42.35211145464839,-71.13531147083799,"(42.35211145464839, -71.13531147083799)"
212095482,3108,,FIRE REPORT,B3,444,0,2021-12-31 19:46:00,2021,12,Friday,19,,ABBOT ST,42.29686162363138,-71.08584182950716,"(42.29686162363138, -71.08584182950716)"
212095474,3115,,INVESTIGATE PERSON,B2, ,0,2021-12-31 19:24:00,2021,12,Friday,19,,WARREN ST,42.31696649906326,-71.08254057648374,"(42.31696649906326, -71.08254057648374)"
212095472,3005,,SICK ASSIST,B2, ,0,2021-12-31 19:01:00,2021,12,Friday,19,,GASTON ST,42.31358712986491,-71.08108335600873,"(42.31358712986491, -71.08108335600873)"
212095470,613,,LARCENY SHOPLIFTING,D14, ,0,2021-12-31 18:44:00,2021,12,Friday,18,,CAMBRIDGE ST,42.35370857360233,-71.13703909632851,"(42.35370857360233, -71.13703909632851)"
212095460,1832,,SICK ASSIST - DRUG RELATED ILLNESS,D14, ,0,2021-12-31 17:38:00,2021,12,Friday,17,,COMMONWEALTH AVE,42.352164353723026,-71.12378708183789,"(42.352164353723026, -71.12378708183789)"
212095453,3803,,M/V ACCIDENT - PERSONAL INJURY,D14, ,0,2021-12-31 17:30:00,2021,12,Friday,17,,"BELLVISTA RD & COREY RD
BRIGHTON  MA 02135
UNITED ",42.345564019229954,-71.13646097058415,"(42.345564019229954, -71.13646097058415)"
212095452,3115,,INVESTIGATE PERSON,B3, ,0,2021-12-31 17:20:00,2021,12,Friday,17,,LORNA RD,42.276633719568345,-71.08527294094218,"(42.276633719568345, -71.08527294094218)"
212095445,2907,,VAL - OPERATING AFTER REV/SUSP.,B2, ,0,2021-12-31 16:23:00,2021,12,Friday,16,,BURRELL ST,42.32265133052613,-71.07172492338583,"(42.32265133052613, -71.07172492338583)"
212095444,619,,LARCENY ALL OTHERS,B2, ,0,2021-12-31 15:30:00,2021,12,Friday,15,,WASHINGTON ST,42.32104456561025,-71.09281973908705,"(42.32104456561025, -71.09281973908705)"
212095441,423,,ASSAULT - AGGRAVATED,B3, ,0,2021-12-31 15:27:00,2021,12,Friday,15,,GILMER ST,42.28281073542675,-71.09722321342178,"(42.28281073542675, -71.09722321342178)"
212095439,2647,,THREATS TO DO BODILY HARM,B2,282,0,2021-11-24 16:26:00,2021,11,Wednesday,16,,WASHINGTON ST,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)"
212095438,3801,,M/V ACCIDENT - OTHER,D14, ,0,2021-12-31 14:46:00,2021,12,Friday,14,,KELTON ST,42.347314125696435,-71.13770455740506,"(42.347314125696435, -71.13770455740506)"
212095433,3115,,INVESTIGATE PERSON,D14, ,0,2021-12-31 14:33:00,2021,12,Friday,14,,EVERETT ST,42.36053147482123,-71.13644288576312,"(42.36053147482123, -71.13644288576312)"
212095423,3410,,TOWED MOTOR VEHICLE,B2, ,0,2021-12-31 14:02:00,2021,12,Friday,14,,WASHINGTON ST,42.33066305064574,-71.08317741214948,"(42.33066305064574, -71.08317741214948)"
212095420,801,,ASSAULT - SIMPLE,B3, ,0,2021-12-31 13:24:00,2021,12,Friday,13,,AMERICAN LEGION HWY,42.293851828244264,-71.09373071262159,"(42.293851828244264, -71.09373071262159)"
212095417,3114,,INVESTIGATE PROPERTY,D14, ,0,2021-12-31 13:06:00,2021,12,Friday,13,,BRAINTREE ST,42.35631414864463,-71.13567791668265,"(42.35631414864463, -71.13567791668265)"
212095416,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,B2, ,0,2021-12-31 13:24:00,2021,12,Friday,13,,MISSION PARK DR,42.334068846193226,-71.10748198238643,"(42.334068846193226, -71.10748198238643)"
212095411,1102,,FRAUD - FALSE PRETENSE / SCHEME,D14, ,0,2021-12-31 13:59:00,2021,12,Friday,13,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
212095409,1402,,VANDALISM,B2, ,0,2021-12-31 13:45:00,2021,12,Friday,13,,HUTCHINGS ST,42.31026891035492,-71.08931055058088,"(42.31026891035492, -71.08931055058088)"
212095404,3301,,VERBAL DISPUTE,B2,276,0,2021-12-31 00:00:00,2021,12,Friday,0,,RUGGLES ST,42.33174820315374,-71.08365659411294,"(42.33174820315374, -71.08365659411294)"
212095403,724,,AUTO THEFT,D14,778,0,2021-12-31 13:01:00,2021,12,Friday,13,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
212095398,3005,,SICK ASSIST,B2,293,0,2021-12-31 00:00:00,2021,12,Friday,0,,GUILD ST,42.326955512984476,-71.0894844237365,"(42.326955512984476, -71.0894844237365)"
212095393,724,,AUTO THEFT,B2, ,0,2021-12-31 12:21:00,2021,12,Friday,12,,HUTCHINGS ST,42.31026891035492,-71.08931055058088,"(42.31026891035492, -71.08931055058088)"
212095388,724,,AUTO THEFT,D14,778,0,2021-12-31 11:42:00,2021,12,Friday,11,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
212095386,3502,,MISSING PERSON - LOCATED,B2, ,0,2021-12-30 22:30:00,2021,12,Thursday,22,,HOLWORTHY ST,42.316321305820594,-71.08923049704752,"(42.316321305820594, -71.08923049704752)"
212095378,3114,,INVESTIGATE PROPERTY,B3, ,0,2021-12-31 10:29:00,2021,12,Friday,10,,MORTON ST,42.28560167185806,-71.09317129740397,"(42.28560167185806, -71.09317129740397)"
212095374,617,,LARCENY THEFT FROM BUILDING,D14, ,0,2021-12-31 10:31:00,2021,12,Friday,10,,WASHINGTON ST,42.34905600030506,-71.15049849975023,"(42.34905600030506, -71.15049849975023)"
212095371,724,,AUTO THEFT,B2, ,0,2021-12-31 10:27:00,2021,12,Friday,10,,ROXBURY ST,42.32952035449152,-71.08530640838333,"(42.32952035449152, -71.08530640838333)"
212095366,801,,ASSAULT - SIMPLE,D14, ,0,2021-12-31 09:37:00,2021,12,Friday,9,,WASHINGTON ST,42.3489330747303,-71.16177266302515,"(42.3489330747303, -71.16177266302515)"
212095356,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,B3, ,0,2021-12-31 07:43:00,2021,12,Friday,7,,"TALBOT AVE & KERWIN ST
DORCHESTER  MA 02124
UNITED",42.293320034316636,-71.0825600445308,"(42.293320034316636, -71.0825600445308)"
212095354,617,,LARCENY THEFT FROM BUILDING,B3,465,0,2021-12-31 06:54:00,2021,12,Friday,6,,BLUE HILL AVE,42.28482576580488,-71.09137368938802,"(42.28482576580488, -71.09137368938802)"
212095337,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D14, ,0,2021-12-31 00:31:00,2021,12,Friday,0,,WESTERN AVE,42.36284172499237,-71.13792233554409,"(42.36284172499237, -71.13792233554409)"
212095334,3410,,TOWED MOTOR VEHICLE,B2, ,0,2021-12-31 00:10:00,2021,12,Friday,0,,"LAWRENCE AVE & NORMANDY ST
DORCHESTER  MA 02121
UN",42.312224032900986,-71.0773239658803,"(42.312224032900986, -71.0773239658803)"
212095329,801,,ASSAULT - SIMPLE,B3, ,0,2021-12-30 22:32:00,2021,12,Thursday,22,,KINGBIRD RD,42.292340258639264,-71.09338240488354,"(42.292340258639264, -71.09338240488354)"
212095328,3115,,INVESTIGATE PERSON,B3, ,0,2021-12-30 23:03:00,2021,12,Thursday,23,,GREENWOOD ST,42.30007731353582,-71.07990163975134,"(42.30007731353582, -71.07990163975134)"
212095301,801,,ASSAULT - SIMPLE,B2, ,0,2021-12-30 18:50:00,2021,12,Thursday,18,,MCGREEVEY WAY,42.33431858702245,-71.09621109538546,"(42.33431858702245, -71.09621109538546)"
212095298,3005,,SICK ASSIST,B2, ,0,2021-12-30 18:55:00,2021,12,Thursday,18,,DUDLEY ST,42.32883627064524,-71.0845984913222,"(42.32883627064524, -71.0845984913222)"
212095297,2670,,HARASSMENT/ CRIMINAL HARASSMENT,B2, ,0,2021-12-30 11:00:00,2021,12,Thursday,11,,FENWOOD RD,42.334682686796334,-71.10699046237603,"(42.334682686796334, -71.10699046237603)"
212095293,735,,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3, ,0,2021-12-30 19:31:00,2021,12,Thursday,19,,ITASCA ST,42.27246009345381,-71.10352420523184,"(42.27246009345381, -71.10352420523184)"
212095290,1402,,VANDALISM,B2,328,0,2021-12-30 19:11:00,2021,12,Thursday,19,,GREENHEYS STREET,0,0,"(0, 0)"
212095275,423,,ASSAULT - AGGRAVATED,B2, ,0,2021-12-30 17:22:00,2021,12,Thursday,17,,WASHINGTON ST,42.33044113294782,-71.08373480990272,"(42.33044113294782, -71.08373480990272)"
